    1  6.314   12.710   63.660  636.000
    2  2.920    4.303    9.925   31.600
    3  2.353    3.182    5.841   12.920
    4  2.132    2.776    4.604    8.610
    5  2.015    2.571    4.032    6.869
    6  1.943    2.447    3.707    5.959
    7  1.895    2.365    3.499    5.408
    8  1.860    2.306    3.355    5.041
    9  1.833    2.262    3.250    4.781
   10  1.812    2.228    3.169    4.587
   11  1.796    2.201    3.106    4.437
   12  1.782    2.179    3.055    4.318
   13  1.771    2.160    3.012    4.221
   14  1.761    2.145    2.977    4.140
   15  1.753    2.131    2.947    4.073
   16  1.746    2.120    2.921    4.015
   17  1.740    2.110    2.898    3.965
   18  1.734    2.101    2.878    3.922
   19  1.729    2.093    2.861    3.883
   20  1.725    2.086    2.845    3.849
   21  1.721    2.080    2.831    3.819
   22  1.717    2.074    2.819    3.792
   23  1.714    2.069    2.087    3.768
   24  1.711    2.064    2.797    3.745
   25  1.708    2.060    2.787    3.725
   26  1.706    2.056    2.779    3.707
   27  1.703    2.052    2.771    3.690
   28  1.701    2.048    2.763    3.674
   29  1.699    2.045    2.756    3.659
   30  1.697    2.042    2.750    3.646
   40  1.684    2.021    2.704    3.551
   50  1.676    2.009    2.768    3.496
   60  1.671    2.000    2.660    3.460
   70  1.667    1.994    2.648    3.435 
   80  1.664    1.900    2.639    3.416
   90  1.662    1.987    2.632    3.402
  100  1.660    1.984    2.626    3.390
  120  1.658    1.980    2.617    3.373
  140  1.656    1.977    2.611    3.361
  160  1.654    1.975    2.607    3.352
  180  1.653    1.973    2.603    3.345
  200  1.653    1.972    2.601    3.340
  220  1.652    1.971    2.598    3.335
  240  1.651    1.970    2.596    3.332
  260  1.651    1.969    2.595    3.328
  280  1.650    1.968    2.594    3.326
  300  1.650    1.968    2.592    3.323
  400  1.649    1.966    2.588    3.315
  500  1.648    1.965    2.586    3.310
 1500  1.645    1.962    2.583    3.307
